French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,than
un,a
il,he
et,and
à,at
a,at
ne,not
les,the
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,of
moi,me
qui,who
nous,we
y,y
mais,but
me,me
dans,in
du,from
bien,well
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,at
avec,with
va,go
oui,Yes
toi,you
fait,made
ils,they
as,as
être,to be
faire,to do
se,is
comme,as
était,was
sur,sure
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the the
rien,nothing
dit,said
es,es
où,where
votre,your
pourquoi,why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,will go
dire,say
alors,so
comment,how
avez,have
bon,good
ou,or
très,very
merci,thank you
ont,have
même,even
jamais,never
aussi,as well
voir,see
chose,thing
allez,come on
tous,all
deux,two
ces,these
faut,must
sa,his
êtes,are
été,been
ta,your
fais,do
avoir,have
peut,can
autre,other
m,m
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,agreement
vu,seen
monde,world
quelque,some
fois,once
aller,go
trop,too much
viens,come
crois,believe
dieu,God
dois,must
homme,man
père,father
sûr,sure
aux,to
leur,their
avant,before
étais,was
besoin,need
femme,woman
aime,love
personne,nobody
avais,had
chez,at home
vrai,true
ans,years
mal,bad
ses,his
parler,talk
vos,your
après,after
mort,dead
veut,want
eu,had
sera,will be
bonne,good
parce,because
mieux,better
petit,little
voilà,here
tes,your
ca,that
dis,say
beaucoup,a lot
depuis,since
doit,must
vois,see
mère,mother
vas,go
monsieur,sir
quel,what
déjà,already
fille,girl
gens,people
donc,so
jour,day
soir,evening
autres,other
ii,ii
toute,all
bonjour,Hello
ll,ll
maison,House
nom,last name
argent,silver
nos,our
ouais,yeah
pense,think
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,rest
désolé,sorry
maman,mummy
peur,fear
arrive,come
seul,alone
vite,quickly
prendre,take
regarde,look
air,air
soit,either
trois,three
quelle,what
passé,past
savoir,know
plaît,please
choses,things
moins,less
fils,son
entre,between
bas,low
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow tomorrow
grand,big
arrête,stop
faites,do
voulez,want
hé,Hey
attends,wait
hein,huh
enfants,children
assez,enough
raison,reason
aurais,would have
voulais,wanted
elles,they
parle,talk
ok,OK
jours,days
dû,due
moment,moment
heure,hour
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,help
chance,luck
savez,know
partir,leave
sait,know
combien,how much
voiture,car
tant,so much
pris,taken
part,go
problème,problem
prends,take
porte,door
coup,blow
serait,would
venir,come
hui,hui
famille,family
travail,work
pu,could
seule,alone
sens,meaning
ni,neither
allons,let's go
revoir,goodbye
idée,idea
putain,damn
passer,pass
contre,against
comprends,understand
entendu,heard
trouvé,found
trouver,find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,some
attention,be careful
demande,request
chercher,to look
sous,under
voici,here
pourrait,could
sang,blood
pouvez,can
sortir,come out
question,question
histoire,history
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,hold on
mois,month
eux,them
mec,dude
yeux,eyes
laisse,leave
super,super
belle,beautiful
longtemps,long
police,police
eau,water
heures,hours
car,because
importe,whatever
cas,case
vont,go
chaque,each
